Term	Notes	English	Dutch	French	Italian	German	Spanish	Brazilian Portuguese	Polish	Chinese (Simplified)	Chinese (Traditional)	Japanese	Korean
cp_coop_portal		Co-op portal	Co-op portal	Portail coopératif	Portale cooperativa	Koop-Portal	Portal cooperativo	Portal Cooperativo	Portal kooperacyjny	合作门户	合作門戶	協同組合ポータル	협동 포털
cp_coop_portal_description		A portal that connects to your friend's world	Een portaal dat verbinding maakt met de wereld van je vriend	Un portail qui se connecte au monde de votre ami	Un portale che si collega al mondo del tuo amico	Ein Portal, das sich mit der Welt Ihres Freundes verbindet	Un portal que se conecta al mundo de su amigo	Um portal que se conecta ao mundo do seu amigo	Portal, który łączy się ze światem twojego przyjaciela	连接到您朋友世界的门户网站	連接您朋友世界的門戶	あなたの友人の世界に接続するポータル	친구의 세계에 연결되는 포털
idea_cp_coop_portal_status		Portal opening ...	Portaalopening ...	Ouverture du portail ...	Apertura del portale ...	Portalöffnung ...	Apertura del portal ...	Abertura do portal ...	Otwarcie portalu ...	门户开放...	門戶開放...	ポータルオープニング...	포털 오프닝 ...
cp_unstable_coop_portal		Dimensional slit	Dimensionale spleet	Fente dimensionnelle	Fessura dimensionale	Dimensionalschlitz	Ranura dimensional	Fenda dimensional	Wymiarowy szczelinę	尺寸狭缝	空間狹縫	寸法スリット	치수 슬릿
cp_unstable_coop_portal_description		Uncontrollable. Build a Co-op Portal to make use of the full potential.	Oncontroleerbaar. Bouw een co-op portal om gebruik te maken van het volledige potentieel.	Incontrôlable. Construisez un portail coopératif pour utiliser le plein potentiel.	Incontrollabile. Costruisci un portale cooperativo per utilizzare il pieno potenziale.	Unkontrollierbar. Erstellen Sie ein Koop-Portal, um das volle Potenzial auszuschöpfen.	Incontrolable. Construya un portal cooperativo para utilizar todo el potencial.	Incontrolável. Construa um portal cooperativo para usar todo o potencial.	Niepowstrzymany. Zbuduj portal kooperacyjny, aby wykorzystać pełny potencjał.	无法控制。建立一个合作门户，以利用全部潜力。	無法控制。 建立合作門戶以充分利用潛力。	制御不能。協同組合ポータルを構築して、最大限の可能性を利用します。	통제 할 수없는. 잠재력을 최대한 활용하기 위해 협동 포털을 구축하십시오.
cp_void_portal		Void portal	Nietige portaal	Portail du vide	Vuoto portale	Hohlsportal	Portal vacío	Portal vazio	Portal void	void门户	虛空傳送門	ボイドポータル	무효 포털
cp_void_portal_description		Leads to nothing. Swallows everything.	Leidt tot niets. Slikt alles.	Ne mène à rien. Avale tout.	Non porta a nulla. Ingoia tutto.	Führt zu nichts. Schluckt alles.	Conduce a nada. Traga todo.	Leva a nada. Engole tudo.	Prowadzi do nic. Połknia wszystko.	什么都没有。吞下一切。	導致一事無成。 吞噬一切。	何にもつながります。すべてを飲み込みます。	아무것도 끝나지 않습니다. 모든 것을 삼킨다.
questgroup_cp		Co-op Portaling	Co-op portaling	Portail coopératif	Portale cooperativa	Koop-Portaling	Portal cooperativo	Portal de cooperação	Portalowanie kooperacyjne	合作门户	合作門戶	協同組合ポータル	협동 포털
quest_cp_build_coop_portal_text		Build a Co-op Portal and link it to a friend	Bouw een co-op portal en koppelt het aan een vriend	Construisez un portail coopératif et liez-le à un ami	Costruisci un portale cooperativo e collegalo a un amico	Erstellen Sie ein Koop-Portal und verbinden Sie es mit einem Freund	Construir un portal cooperativo y vincularlo a un amigo	Construa um portal cooperativo e vincule-o a um amigo	Zbuduj portal kooperacyjny i połącz go z przyjacielem	构建合作门户并将其链接到朋友	建立一個合作門戶網站並將其鏈接到朋友	協同組合ポータルを構築し、友達にリンクします	협동 포털을 구축하여 친구에게 연결하십시오.
quest_cp_teleport_to_friend_text		Teleport some cards to a friend	Teleporteer enkele kaarten naar een vriend	Téléporter des cartes à un ami	Teletrasporta alcune carte ad un amico	Teleportiere ein paar Karten an einen Freund	Teletransporta algunas tarjetas a un amigo	Teleporte alguns cartões para um amigo	Teleportuj kilka kart do przyjaciela	传送一些卡给朋友	將一些卡片傳送給朋友	いくつかのカードを友達にテレポートします	친구에게 일부 카드를 순간 이동시킵니다
